date,close,benchmark_close
2021-09-08,108.0726,110.253
2021-09-09,104.9455,111.353
2021-09-10,103.5345,110.3754
2021-09-13,104.0761,108.7875
2021-09-14,103.086,108.9495
2021-09-15,103.924,107.5273
2021-09-16,103.576,106.3918
2021-09-17,103.8548,106.5214
2021-09-20,104.8396,105.6701
2021-09-21,105.6633,104.7551
2021-09-22,104.2587,105.2549
2021-09-23,106.937,106.4514
2021-09-24,104.2545,107.2539
2021-09-27,104.0313,108.2434
2021-09-28,102.6896,106.6711
2021-09-29,104.3221,107.3926
2021-09-30,102.5906,107.4001
2021-10-01,101.251,106.6543
2021-10-04,99.7927,106.3542
2021-10-05,98.05,105.9693
2021-10-06,97.3518,104.8845
2021-10-07,97.6094,102.8798
2021-10-08,96.4157,103.2823
2021-10-11,94.3439,103.5676
2021-10-12,94.0279,104.9749
2021-10-13,94.0003,106.1992
2021-10-14,94.884,106.417
2021-10-15,93.9004,107.3479
2021-10-18,93.6818,109.0344
2021-10-19,94.8032,108.3011
2021-10-20,93.5975,108.0388
2021-10-21,93.4908,108.3524
2021-10-22,93.0646,106.912
2021-10-25,91.3476,105.7804
2021-10-26,91.2205,106.5035
2021-10-27,92.5732,106.0668
2021-10-28,95.3259,106.5699
2021-10-29,93.5653,106.4691
2021-11-01,94.719,107.8128
2021-11-02,96.1155,108.1308
2021-11-03,97.664,108.2965
2021-11-04,97.1297,108.0186
2021-11-05,97.5463,106.9392
2021-11-08,96.7927,105.3178
2021-11-09,97.5193,108.1864
2021-11-10,99.0697,108.5496
2021-11-11,98.77,109.6952
2021-11-12,99.0737,108.7513
2021-11-15,100.2062,109.2857
2021-11-16,101.1649,109.7257
2021-11-17,100.318,108.8034
2021-11-18,102.1412,111.0436
2021-11-19,102.807,112.7358
2021-11-22,103.034,112.5775
2021-11-23,103.1089,113.8654
2021-11-24,104.0712,115.2472
2021-11-25,105.4955,115.9536
2021-11-26,103.7937,116.6062
2021-11-29,102.6527,116.7997
2021-11-30,100.4007,116.8358
2021-12-01,101.0067,115.195
2021-12-02,101.5404,114.7294
2021-12-03,101.1075,115.2882
2021-12-06,99.7034,115.0265
2021-12-07,101.4432,116.3288
2021-12-08,103.6042,116.4693
2021-12-09,105.7823,115.524
2021-12-10,105.8812,114.1132
2021-12-13,106.1051,113.0851
2021-12-14,106.3263,113.0684
2021-12-15,106.1703,112.85
2021-12-16,104.5197,109.8444
2021-12-17,103.7297,110.464
2021-12-20,104.8664,112.2601
2021-12-21,104.8938,111.5061
2021-12-22,104.2769,112.0483
2021-12-23,103.9671,111.209
2021-12-24,106.3906,112.6892
2021-12-27,108.4997,111.8161
2021-12-28,110.0985,111.6385
2021-12-29,110.3845,113.2798
2021-12-30,108.6942,114.3682
2021-12-31,109.0014,114.0309
2022-01-03,108.5778,115.4725
2022-01-04,109.4888,116.2375
2022-01-05,110.9885,117.505
2022-01-06,110.0412,119.3482
2022-01-07,111.9768,121.3382
2022-01-10,112.0946,120.2894
2022-01-11,112.2595,119.3157
2022-01-12,111.4812,119.973
2022-01-13,111.2452,119.6386
2022-01-14,111.414,115.9533
2022-01-17,111.1584,117.1139
2022-01-18,110.7349,115.6651
2022-01-19,110.2018,115.3469
2022-01-20,113.1939,114.5845
2022-01-21,112.9257,114.2074
2022-01-24,114.0749,114.9463
2022-01-25,114.224,112.9077
2022-01-26,110.0011,112.5757
2022-01-27,114.5912,110.8815
2022-01-28,114.6277,110.533
2022-01-31,113.8428,110.8474
2022-02-01,115.8407,111.9499
2022-02-02,118.1338,111.7014
2022-02-03,117.2964,114.5309
2022-02-04,116.0693,115.6255
2022-02-07,114.7738,117.0869
2022-02-08,115.3315,117.9792
2022-02-09,115.6113,117.699
2022-02-10,116.8307,117.1625
2022-02-11,116.6929,116.12
2022-02-14,115.9528,116.1802
2022-02-15,116.1675,112.7202
2022-02-16,115.3424,112.1955
2022-02-17,116.3712,112.182
2022-02-18,117.0386,110.6483
2022-02-21,117.9233,109.4896
2022-02-22,118.6543,109.955
2022-02-23,118.0447,110.6453
2022-02-24,115.4645,111.0122
2022-02-25,117.4177,108.5376
2022-02-28,119.1212,110.5947
2022-03-01,118.0104,110.3588
2022-03-02,119.4339,113.756
2022-03-03,119.7109,113.7287
2022-03-04,119.6327,114.3653
2022-03-07,119.6583,113.8759
2022-03-08,118.4085,114.6243
2022-03-09,118.2427,116.6333
2022-03-10,118.3583,117.2268
2022-03-11,118.7067,118.4438
2022-03-14,117.7795,119.2623
2022-03-15,118.4027,117.3239
2022-03-16,117.5446,118.0952
2022-03-17,116.8109,117.3106
2022-03-18,116.9665,117.9183
2022-03-21,116.299,116.7859
2022-03-22,114.7805,118.3896
2022-03-23,114.0263,117.7642
2022-03-24,113.0226,120.2878
2022-03-25,113.2424,119.8908
2022-03-28,114.27,120.9655
2022-03-29,115.1699,119.4177
2022-03-30,114.1962,119.6664
2022-03-31,113.6915,118.8087
2022-04-01,114.1125,119.5419
2022-04-04,111.7579,121.335
2022-04-05,113.0311,122.7366
2022-04-06,114.8614,122.0156
2022-04-07,115.9194,120.601
2022-04-08,112.6975,120.1913
2022-04-11,113.1087,118.953
2022-04-12,110.4353,120.2195
2022-04-13,111.7898,120.6591
2022-04-14,108.6883,121.3955
2022-04-15,106.7171,119.6749
2022-04-18,107.2304,118.536
2022-04-19,105.2696,117.4175
2022-04-20,101.5707,117.82
2022-04-21,100.1545,118.2648
2022-04-22,100.7407,115.6986
2022-04-25,99.2086,117.1955
2022-04-26,97.8086,119.5199
2022-04-27,98.0374,117.4027
2022-04-28,98.0412,116.3864
2022-04-29,99.6473,117.2873
2022-05-02,100.7708,116.4082
2022-05-03,100.3361,115.9996
2022-05-04,99.4176,115.7791
2022-05-05,100.8276,113.7062
2022-05-06,99.9453,113.0788
2022-05-09,98.534,111.7053
2022-05-10,99.1395,111.3005
2022-05-11,98.3675,111.3233
2022-05-12,96.4054,111.637
2022-05-13,97.1891,111.745
2022-05-16,98.3468,110.9343
2022-05-17,96.8281,111.1796
2022-05-18,96.3752,113.4744
2022-05-19,95.79,112.5104
2022-05-20,95.5981,109.0327
2022-05-23,95.0571,107.8613
2022-05-24,93.2222,106.5539
2022-05-25,93.2791,104.6843
2022-05-26,92.8911,104.088
2022-05-27,93.0713,103.1922
2022-05-30,93.8984,103.121
2022-05-31,94.9218,103.6284
2022-06-01,95.4724,106.1884
2022-06-02,92.2764,106.8845
2022-06-03,91.0605,106.8122
2022-06-06,91.1875,104.6883
2022-06-07,92.1927,103.0999
2022-06-08,90.9849,101.8664
2022-06-09,90.0818,101.5222
2022-06-10,92.1565,99.5188
2022-06-13,89.1629,99.7027
2022-06-14,88.7957,101.061
2022-06-15,88.036,101.5829
2022-06-16,87.5848,102.9624
2022-06-17,87.1935,102.6939
2022-06-20,87.9482,103.2353
2022-06-21,89.0716,103.3337
2022-06-22,92.75,104.0568
2022-06-23,94.9727,105.0439
2022-06-24,94.9306,103.8048
2022-06-27,95.2774,102.3025
2022-06-28,96.6303,101.2351
2022-06-29,100.0961,102.3015
2022-06-30,99.8961,102.8514
2022-07-01,100.4634,103.9223
2022-07-04,100.2687,103.0229
2022-07-05,101.8832,103.1357
2022-07-06,100.1341,103.6692
2022-07-07,100.3692,101.7264
2022-07-08,98.6902,101.3287
2022-07-11,99.0896,101.6811
2022-07-12,100.1774,101.9419
2022-07-13,99.7014,101.1855
2022-07-14,99.4451,101.0002
2022-07-15,100.9787,101.7374
2022-07-18,100.8852,102.2957
2022-07-19,101.6779,103.0805
2022-07-20,101.4068,103.5261
2022-07-21,100.2274,103.454
2022-07-22,99.7306,104.0224
2022-07-25,102.5494,103.8496
2022-07-26,102.2203,102.054
2022-07-27,102.3468,102.3527
2022-07-28,104.0162,100.9319
2022-07-29,104.5779,99.7773
2022-08-01,105.3735,99.2915
2022-08-02,108.6376,100.0973
2022-08-03,110.0163,99.9426
2022-08-04,108.9264,102.1992
2022-08-05,109.9646,103.0167
2022-08-08,109.1786,103.1546
2022-08-09,108.7467,101.1507
2022-08-10,110.3399,101.992
2022-08-11,110.4991,102.5756
